Mã CK,Tên công ty,Ngành cấp 1,Ngành cấp 2,Ngành cấp 3,Sàn,Ngày GDĐT,Khối lượng NY/ĐKGD
PBT,CTCP Nhà và Thương mại Dầu khí,Sản xuất,Sản xuất các sản phẩm nhựa và cao su,Sản xuất các sản phẩm nhựa,UPCoM,18/01/2019,"17,522,284"
PCC,CTCP Tập đoàn Xây lắp 1 - Petrolimex,Xây dựng và Bất động sản,Xây dựng công nghiệp nặng và dân dụng,Xây dựng công nghiệp nặng và dân dụng khác,UPCoM,14/11/2017,"11,500,000"
PCF,CTCP Cà phê PETEC,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn các mặt hàng tiêu dùng khác,UPCoM,29/03/2017,"3,000,000"
PCM,CTCP Vật liệu Xây dựng Bưu điện,Sản xuất,"Sản xuất các sản phẩm điện tử, vi tính",Sản xuất thiết bị truyền thông,UPCoM,10/8/2017,"4,000,000"
PCN,CTCP Hóa phẩm Dầu khí DMC - Miền Bắc,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn hóa chất và các sản phẩm liên quan,UPCoM,31/05/2019,"3,924,550"
PDT,CTCP Thương mại Dầu khí Đồng Tháp,Bán lẻ,Trạm xăng,Các trạm xăng khác,UPCoM,22/11/2018,"773,526"
PDV,CTCP Vận tải Dầu Phương Đông Việt,Vận tải và kho bãi,Hỗ trợ vận tải,Hoạt động hỗ trợ vận tải đường thủy,UPCoM,20/04/2017,"25,109,986"
PEC,CTCP Cơ khí Điện lực,Sản xuất,Sản xuất sản phẩm kim loại tổng hợp,Sản xuất kiến trúc và kết cấu kim loại,UPCoM,6/10/2010,"3,115,409"
PEG,Tổng Công ty Thương mại Kỹ thuật và Đầu tư - CTCP,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn dầu và các sản phẩm dầu khí,UPCoM,5/11/2018,"231,898,919"
PEQ,CTCP Thiết bị Xăng dầu Petrolimex,Bán lẻ,Cửa hàng đồ nội thất và đồ dùng gia đình,Cửa hàng đồ nội thất,UPCoM,18/01/2016,"4,965,514"
PFL,CTCP Dầu khí Đông Đô,Xây dựng và Bất động sản,Xây dựng công nghiệp nặng và dân dụng,Xây dựng công nghiệp nặng và dân dụng khác,UPCoM,25/05/2015,"50,000,000"
PGB,Ngân hàng TMCP Xăng dầu Petrolimex,Tài chính và bảo hiểm,Trung gian tín dụng và các hoạt động liên quan,Trung gian tín dụng có nhận tiền gửi,UPCoM,24/12/2020,"300,000,000"
PHH,CTCP Hồng Hà Việt Nam,Xây dựng và Bất động sản,"Xây dựng nhà cửa, cao ốc",Xây dựng công trình khác,UPCoM,31/08/2015,"20,000,000"
PHS,CTCP Chứng khoán Phú Hưng,Tài chính và bảo hiểm,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Môi giới chứng khoán và hàng hóa,UPCoM,31/07/2019,"90,000,000"
PID,CTCP Trang Trí Nội Thất Dầu khí,"Dịch vụ chuyên môn, khoa học và công nghệ",Dịch vụ thiết kế chuyên biệt,Dịch vụ thiết kế nội thất,UPCoM,22/11/2012,"4,000,000"
PIS,Tổng Công ty Pisico Bình Định - CTCP,Sản xuất,Sản xuất các sản phẩm gỗ,"Sản xuất gỗ ốp, ván ép và các sản phẩm gỗ lắp ghép",UPCoM,12/1/2016,"27,500,000"
PIV,CTCP PIV,Bán lẻ,"Kinh doanh vật liệu xây dựng, trang thiết bị làm vườn",Kinh doanh vật liệu xây dựng và vật tư liên quan,UPCoM,18/08/2010,"17,324,942"
PJS,CTCP Cấp nước Phú Hòa Tân,Tiện ích,"Nước, chất thải và các hệ thống khác",Hệ thống thủy lợi và cung cấp nước,UPCoM,5/12/2011,"9,000,000"
PLA,CTCP Đầu tư và Dịch vụ Hạ tầng Xăng dầu,Xây dựng và Bất động sản,Bất động sản,Cho thuê bất động sản,UPCoM,20/11/2017,"10,000,000"
PLE,CTCP Tư vấn Xây dựng Petrolimex,"Dịch vụ chuyên môn, khoa học và công nghệ","Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",Dịch vụ tư vấn xây dựng,UPCoM,7/1/2021,"1,215,000"
PLO,CTCP Kho Vận Petec,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn dầu và các sản phẩm dầu khí,UPCoM,10/4/2020,"7,192,550"
PMJ,CTCP Vật tư Bưu Điện,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn các mặt hàng tiêu dùng khác,UPCoM,29/06/2016,"1,800,000"
PMT,CTCP Viễn thông TELVINA Việt Nam,Công nghệ và thông tin,Viễn thông,Các loại hình viễn thông khác,UPCoM,22/07/2010,"5,000,000"
PMW,CTCP Cấp nước Phú Mỹ,Tiện ích,"Nước, chất thải và các hệ thống khác",Hệ thống thủy lợi và cung cấp nước,UPCoM,17/07/2019,"40,000,000"
PND,CTCP Xăng dầu Dầu khí Nam Định,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn dầu và các sản phẩm dầu khí,UPCoM,20/02/2017,"6,666,666"
PNG,CTCP Thương mại Phú Nhuận,Bán lẻ,Cửa hàng đồ nội thất và đồ dùng gia đình,Cửa hàng đồ nội thất,UPCoM,5/4/2016,"9,000,000"
PNP,CTCP Tân Cảng - Phú Hữu,Vận tải và kho bãi,Hỗ trợ vận tải,Hoạt động hỗ trợ vận tải đường thủy,UPCoM,17/05/2019,"16,100,000"
PNT,CTCP Kỹ thuật Xây dựng Phú Nhuận,Xây dựng và Bất động sản,Phát triển bất động sản,Phát triển bất động sản,UPCoM,12/1/2017,"9,282,802"
POB,CTCP Xăng dầu Dầu khí Thái Bình,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn dầu và các sản phẩm dầu khí,UPCoM,29/09/2017,"10,900,000"
POS,"CTCP Dịch vụ Lắp đặt, Vận hành và Bảo dưỡng Công trình Dầu khí Biển PTSC",Khai khoáng,Các hoạt động hỗ trợ Khai khoáng,Các hoạt động hỗ trợ cho khai thác dầu và khí đốt,UPCoM,25/11/2016,"40,000,000"
POV,CTCP Xăng dầu Dầu khí Vũng Áng,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn dầu và các sản phẩm dầu khí,UPCoM,23/09/2010,"12,499,612"
PPH,Tổng Công ty cổ phần Phong Phú,Sản xuất,"Sản xuất sợi, vải","Sản xuất sợi, vải thành phẩm",UPCoM,23/08/2017,"74,670,891"
PPI,CTCP Đầu tư và Phát triển Dự án Hạ tầng Thái Bình Dương,Xây dựng và Bất động sản,Phát triển bất động sản,Phát triển bất động sản,UPCoM,27/05/2019,"48,290,629"
PQN,CTCP Dịch vụ Dầu khí Quảng Ngãi PTSC,Xây dựng và Bất động sản,Xây dựng công nghiệp nặng và dân dụng,Xây dựng công nghiệp nặng và dân dụng khác,UPCoM,4/10/2019,"30,000,000"
PRO,CTCP Procimex Việt Nam,Sản xuất,Sản xuất thực phẩm,Sơ chế và đóng gói thủy sản,UPCoM,10/10/2014,"3,000,000"
PRT,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP,Sản xuất,Sản xuất khác,Sản xuất khác,UPCoM,7/5/2018,"300,000,000"
PSB,CTCP Đầu tư Dầu khí Sao Mai - Bến Đình,Khai khoáng,Các hoạt động hỗ trợ Khai khoáng,Các hoạt động hỗ trợ cho khai thác dầu và khí đốt,UPCoM,25/02/2010,"50,000,000"
PSG,CTCP Đầu Tư và Xây lắp Dầu khí Sài Gòn,Xây dựng và Bất động sản,Bất động sản,Cho thuê bất động sản,UPCoM,15/09/2015,"35,000,000"
PSL,CTCP Chăn nuôi Phú Sơn,Sản xuất nông nghiệp,Chăn nuôi,Chăn nuôi heo,UPCoM,17/05/2010,"11,812,500"
PSN,CTCP Cảng Dịch vụ Dầu khí Tổng hợp PTSC Thanh Hóa,Vận tải và kho bãi,Hỗ trợ vận tải,Các hoạt động hỗ trợ vận tải khác,UPCoM,29/06/2017,"40,000,000"
PSP,CTCP Cảng Dịch vụ Dầu khí Đình Vũ,Vận tải và kho bãi,Hỗ trợ vận tải,Hoạt động hỗ trợ vận tải đường thủy,UPCoM,10/11/2009,"22,500,000"
PTE,CTCP Xi măng Phú Thọ,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất xi măng và các sản phẩm bê tông,UPCoM,30/06/2015,"12,500,000"
PTG,CTCP May Xuất khẩu Phan Thiết,Sản xuất,Sản xuất các sản phẩm may mặc,Sản xuất phụ kiện và các sản phẩm may mặc khác,UPCoM,4/1/2010,"4,864,385"
PTH,CTCP Vận tải và Dịch vụ Petrolimex Hà Tây,Bán lẻ,Cửa hàng đồ nội thất và đồ dùng gia đình,Cửa hàng đồ nội thất,UPCoM,23/03/2010,"3,503,164"
PTO,CTCP Dịch vụ - Xây dựng Công trình Bưu Điện,Xây dựng và Bất động sản,Xây dựng công nghiệp nặng và dân dụng,Xây dựng hệ thống tiện ích,UPCoM,20/06/2017,"1,200,000"
PTP,CTCP Dịch vụ Viễn thông và In Bưu điện,Công nghệ và thông tin,Viễn thông,Các loại hình viễn thông khác,UPCoM,10/12/2009,"6,800,000"
PTT,CTCP Vận tải Dầu khí Đông Dương,Vận tải và kho bãi,Vận tải đường bộ,Vận tải đường bộ,UPCoM,29/04/2010,"10,000,000"
PTV,CTCP Thương mại Dầu khí,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn dầu và các sản phẩm dầu khí,UPCoM,5/11/2019,"20,000,000"
PTX,CTCP Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn dầu và các sản phẩm dầu khí,UPCoM,30/07/2018,"5,847,685"
PVA,CTCP Tổng Công ty Xây lắp Dầu khí Nghệ An,Xây dựng và Bất động sản,"Xây dựng nhà cửa, cao ốc",Xây dựng công trình khác,UPCoM,1/10/2014,"21,846,000"
PVE,Tổng Công ty Tư vấn thiết kế Dầu khí - CTCP,"Dịch vụ chuyên môn, khoa học và công nghệ","Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",Dịch vụ tư vấn xây dựng,UPCoM,2/1/2008,"25,000,000"
PVH,CTCP Xây lắp Dầu khí Thanh Hóa,Xây dựng và Bất động sản,Xây dựng công nghiệp nặng và dân dụng,Xây dựng hệ thống tiện ích,UPCoM,19/05/2017,"21,000,000"
PVM,CTCP Máy - Thiết bị Dầu khí,Sản xuất,"Sản xuất thiết bị, máy móc","Sản xuất thiết bị, máy móc công nghiệp",UPCoM,20/12/2016,"38,638,600"
PVO,CTCP Dầu nhờn PV Oil,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn dầu và các sản phẩm dầu khí,UPCoM,12/1/2016,"8,900,000"
PVP,CTCP Vận tải Dầu khí Thái Bình Dương,Vận tải và kho bãi,Hỗ trợ vận tải,Các hoạt động hỗ trợ vận tải khác,UPCoM,20/12/2016,"94,275,028"
PVR,CTCP Đầu tư PVR Hà Nội,Tài chính và bảo hiểm,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Các hoạt động đầu tư tài chính khác,UPCoM,2/6/2017,"53,100,913"
PVV,CTCP Vinaconex 39,Xây dựng và Bất động sản,Phát triển bất động sản,Phát triển bất động sản,UPCoM,3/6/2019,"30,000,000"
PVX,Tổng Công ty cổ phần Xây lắp Dầu khí Việt Nam,Xây dựng và Bất động sản,Xây dựng công nghiệp nặng và dân dụng,Xây dựng công nghiệp nặng và dân dụng khác,UPCoM,17/06/2020,"400,000,000"
PVY,CTCP Chế tạo Giàn khoan Dầu khí,Xây dựng và Bất động sản,Xây dựng công nghiệp nặng và dân dụng,Xây dựng công nghiệp nặng và dân dụng khác,UPCoM,29/12/2017,"59,489,787"
PWA,CTCP Bất động sản Dầu khí,Xây dựng và Bất động sản,Bất động sản,Các hoạt động liên quan đến bất động sản,UPCoM,11/6/2019,"10,000,000"
PWS,CTCP Cấp thoát nước Phú Yên,Tiện ích,"Nước, chất thải và các hệ thống khác",Hệ thống thủy lợi và cung cấp nước,UPCoM,30/06/2017,"38,398,179"
PX1,CTCP Xi măng Sông Lam 2,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất xi măng và các sản phẩm bê tông,UPCoM,1/12/2010,"20,000,000"
PXA,CTCP Đầu tư và Thương mại Dầu khí Nghệ An,Xây dựng và Bất động sản,Bất động sản,Các hoạt động liên quan đến bất động sản,UPCoM,13/06/2018,"15,000,000"
PXC,CTCP Phát triển Đô thị Dầu khí,Xây dựng và Bất động sản,Xây dựng công nghiệp nặng và dân dụng,Xây dựng công nghiệp nặng và dân dụng khác,UPCoM,9/2/2017,"28,068,900"
PXL,CTCP Đầu tư Khu Công nghiệp Dầu khí Long Sơn,Xây dựng và Bất động sản,Bất động sản,Các hoạt động liên quan đến bất động sản,UPCoM,23/05/2016,"82,722,212"
PXM,CTCP Xây lắp Dầu khí Miền Trung,Bán buôn,Bán buôn hàng lâu bền,"Bán buôn các mặt hàng điện, điện tử",UPCoM,1/7/2014,"15,000,000"
PXT,CTCP Xây lắp Đường ống Bể chứa Dầu khí,Xây dựng và Bất động sản,Xây dựng công nghiệp nặng và dân dụng,Xây dựng công nghiệp nặng và dân dụng khác,UPCoM,9/6/2021,"20,000,000"
PYU,CTCP Môi trường và Công trình Đô thị Phúc Yên,"Dịch vụ hỗ trợ (hành chính, du lịch, an ninh, kiểm định…) và xử lý rác thải",Dịch vụ quản lý và tái chế chất thải,Xử lý ô nhiễm và các dịch vụ quản lý chất thải khác,UPCoM,15/05/2017,"2,073,985"
QCC,CTCP Đầu tư Xây dựng và Phát triển Hạ tầng Viễn thông,Xây dựng và Bất động sản,"Xây dựng nhà cửa, cao ốc",Xây dựng công trình khác,UPCoM,6/6/2014,"1,500,000"
QHW,CTCP Nước khoáng Quảng Ninh,Sản xuất,Sản xuất đồ uống và thuốc lá,Sản xuất đồ uống,UPCoM,22/12/2016,"8,000,000"
QLD,CTCP Quản lý và Xây dựng Giao thông Lạng Sơn,Xây dựng và Bất động sản,Xây dựng công nghiệp nặng và dân dụng,"Xây dựng cầu đường, đường cao tốc",UPCoM,5/1/2017,"1,207,400"
QLT,CTCP Quản lý Bảo trì Đường thủy Nội địa Số 10,Vận tải và kho bãi,Hỗ trợ vận tải,Hoạt động hỗ trợ vận tải đường thủy,UPCoM,3/4/2017,"1,500,000"
QNC,CTCP Xi măng và Xây dựng Quảng Ninh,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất xi măng và các sản phẩm bê tông,UPCoM,17/01/2008,"50,000,000"
QNS,CTCP Đường Quảng Ngãi,Sản xuất,Sản xuất thực phẩm,Sản xuất sản phẩm sữa,UPCoM,20/12/2016,"356,939,955"
QNT,Trung tâm Tư vấn xây dựng thị xã Điện Bàn,"Dịch vụ chuyên môn, khoa học và công nghệ","Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",Dịch vụ tư vấn xây dựng,UPCoM,9/1/2020,"134,050"
QNU,CTCP Môi trường Đô thị Quảng Nam,Tiện ích,"Nước, chất thải và các hệ thống khác",Công trình xử lý nước thải,UPCoM,28/02/2017,"6,800,000"
QNW,CTCP Cấp thoát nước và Xây dựng Quảng Ngãi,Tiện ích,"Nước, chất thải và các hệ thống khác",Hệ thống thủy lợi và cung cấp nước,UPCoM,26/12/2016,"20,000,000"
QPH,CTCP Thủy điện Quế Phong,Tiện ích,"Phát, truyền tải và phân phối điện năng",Phát điện,UPCoM,11/7/2014,"18,583,100"
QSP,CTCP Tân Cảng Quy Nhơn,Vận tải và kho bãi,Hỗ trợ vận tải,Các hoạt động hỗ trợ vận tải khác,UPCoM,23/09/2016,"10,792,275"
QTP,CTCP Nhiệt điện Quảng Ninh,Tiện ích,"Phát, truyền tải và phân phối điện năng","Truyền tải, kiểm soát và phân phối điện",UPCoM,16/03/2017,"450,000,000"
RAT,CTCP Vận tải và Thương mại Đường sắt,Vận tải và kho bãi,Vận tải đường sắt,Vận tải đường sắt đường dài,UPCoM,15/08/2016,"5,921,841"
RBC,CTCP Công nghiệp và Xuất nhập khẩu Cao su,Sản xuất,Sản xuất các sản phẩm nhựa và cao su,Sản xuất các sản phẩm cao su,UPCoM,18/02/2016,"10,030,308"
RCC,CTCP Tổng Công ty Công trình Đường sắt,Vận tải và kho bãi,Hỗ trợ vận tải,Các hoạt động hỗ trợ vận tải khác,UPCoM,2/12/2016,"15,457,383"
RCD,CTCP Xây dựng - Địa ốc Cao su,Xây dựng và Bất động sản,"Xây dựng nhà cửa, cao ốc",Xây dựng công trình khác,UPCoM,6/2/2015,"5,300,062"
RGC,CTCP Đầu tư PV - Inconess,"Nghệ thuật, vui chơi và giải trí","Nghệ thuật trình diễn, thể thao và các ngành liên quan",Thể thao,UPCoM,19/06/2017,"89,123,600"
RTB,CTCP Cao su Tân Biên,Sản xuất,"Sản xuất hóa chất, dược phẩm","Sản xuất nhựa, cao su tổng hợp, sợi tổng hợp nhân tạo",UPCoM,7/11/2016,"87,945,000"
S12,CTCP Sông Đà 12,Xây dựng và Bất động sản,Xây dựng công nghiệp nặng và dân dụng,Xây dựng hệ thống tiện ích,UPCoM,26/05/2016,"5,000,000"
S27,CTCP Sông Đà 27,Sản xuất,Sản xuất khác,Sản xuất khác,UPCoM,27/11/2014,"1,572,833"
S72,CTCP Sông Đà 7.02,Tiện ích,"Phát, truyền tải và phân phối điện năng",Phát điện,UPCoM,22/05/2018,"12,000,000"
S74,CTCP Sông Đà 7.04,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất xi măng và các sản phẩm bê tông,UPCoM,11/6/2021,"6,480,000"
S96,CTCP Sông Đà 9.06,Xây dựng và Bất động sản,"Xây dựng nhà cửa, cao ốc",Xây dựng công trình khác,UPCoM,21/08/2014,"11,155,532"
SAC,CTCP Xếp dỡ và Dịch vụ Cảng Sài Gòn,Vận tải và kho bãi,Hỗ trợ vận tải,Các hoạt động hỗ trợ vận tải khác,UPCoM,8/11/2016,"4,050,000"
SAL,CTCP Trục vớt Cứu hộ Việt Nam,Vận tải và kho bãi,Hỗ trợ vận tải,Hoạt động hỗ trợ vận tải đường thủy,UPCoM,20/10/2017,"8,310,000"
SAP,CTCP In Sách giáo khoa Thành phố Hồ Chí Minh,Sản xuất,In ấn và các hoạt động hỗ trợ,In ấn,UPCoM,7/5/2018,"1,286,984"
SAS,CTCP Dịch vụ Hàng không Sân bay Tân Sơn Nhất,Bán lẻ,Của hàng hàng hóa tổng hợp,Cửa hàng tổng hợp,UPCoM,16/04/2015,"133,481,310"
SB1,CTCP Bia Sài Gòn - Nghệ Tĩnh,Sản xuất,Sản xuất đồ uống và thuốc lá,Sản xuất đồ uống,UPCoM,26/12/2016,"10,500,000"
SBD,CTCP Công nghệ Sao Bắc Đẩu,Công nghệ và thông tin,Các dịch vụ thông tin khác,Các dịch vụ thông tin khác,UPCoM,16/02/2017,"11,500,000"
SBH,CTCP Thủy điện Sông Ba Hạ,Tiện ích,"Phát, truyền tải và phân phối điện năng",Phát điện,UPCoM,7/6/2018,"124,225,000"
SBL,CTCP Bia Sài Gòn - Bạc Liêu,Sản xuất,Sản xuất thực phẩm,Sản xuất các loại thực phẩm khác,UPCoM,23/01/2017,"12,012,000"
SBM,CTCP Đầu tư Phát triển Bắc Minh,Tiện ích,"Phát, truyền tải và phân phối điện năng",Phát điện,UPCoM,21/09/2017,"40,949,982"
SBR,CTCP Cao su Sông Bé,Sản xuất,"Sản xuất hóa chất, dược phẩm","Sản xuất nhựa, cao su tổng hợp, sợi tổng hợp nhân tạo",UPCoM,2/11/2020,"81,396,192"
SBS,CTCP Chứng khoán Ngân hàng Sài Gòn Thương Tín,Tài chính và bảo hiểm,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Môi giới chứng khoán và hàng hóa,UPCoM,28/04/2014,"126,660,000"
SCA,CTCP Nông nghiệp Sông Con,Sản xuất nông nghiệp,Trồng trọt,Trồng trọt các loại cây khác,UPCoM,3/7/2020,"2,076,000"
SCC,CTCP Thương mại Đầu tư SHB,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất xi măng và các sản phẩm bê tông,UPCoM,6/8/2014,"4,884,900"
SCJ,CTCP Xi măng Sài Sơn,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất xi măng và các sản phẩm bê tông,UPCoM,27/05/2019,"37,839,000"
SCL,CTCP Sông Đà Cao Cường,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất xi măng và các sản phẩm bê tông,UPCoM,18/05/2020,"13,889,973"
SCO,CTCP Công nghiệp Thủy sản,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn các mặt hàng tiêu dùng khác,UPCoM,17/09/2010,"4,200,000"
SCV,CTCP Muối Việt Nam,Sản xuất,Sản xuất thực phẩm,Sản xuất các loại thực phẩm khác,UPCoM,19/05/2021,"1,279,392"
SCY,CTCP Đóng tàu Sông Cấm,Sản xuất,Sản xuất phương tiện vận tải,"Đóng tàu, thuyền",UPCoM,25/10/2017,"61,968,926"
SD1,CTCP Sông Đà 1,Xây dựng và Bất động sản,"Xây dựng nhà cửa, cao ốc",Xây dựng công trình khác,UPCoM,23/07/2010,"5,000,000"
SD3,CTCP Sông Đà 3,Tiện ích,"Phát, truyền tải và phân phối điện năng",Phát điện,UPCoM,24/12/2013,"15,999,356"
SD7,CTCP Sông Đà 7,Xây dựng và Bất động sản,Xây dựng công nghiệp nặng và dân dụng,Xây dựng hệ thống tiện ích,UPCoM,1/6/2018,"10,600,000"
SD8,CTCP Sông Đà 8,Xây dựng và Bất động sản,Xây dựng công nghiệp nặng và dân dụng,"Xây dựng cầu đường, đường cao tốc",UPCoM,25/12/2015,"2,800,000"
SDB,CTCP Sông Đà 207,Xây dựng và Bất động sản,"Xây dựng nhà cửa, cao ốc",Xây dựng công trình khác,UPCoM,3/7/2014,"11,000,000"
SDD,CTCP Đầu tư và Xây lắp Sông Đà,Xây dựng và Bất động sản,Xây dựng công nghiệp nặng và dân dụng,Xây dựng hệ thống tiện ích,UPCoM,14/06/2019,"16,007,685"
SDH,CTCP Xây dựng Hạ tầng Sông Đà,Xây dựng và Bất động sản,"Xây dựng nhà cửa, cao ốc","Xây dựng nhà ở, khu dân cư, cao ốc",UPCoM,15/09/2017,"20,950,000"
SDJ,CTCP Sông Đà 25,Xây dựng và Bất động sản,"Xây dựng nhà cửa, cao ốc",Xây dựng công trình khác,UPCoM,2/12/2014,"4,343,700"
SDK,CTCP Cơ khí Luyện kim,Sản xuất,"Sản xuất thiết bị, máy móc",Sản xuất máy móc cơ khí,UPCoM,28/10/2010,"2,600,000"
SDP,CTCP SDP,Bán buôn,Bán buôn hàng lâu bền,"Bán buôn các thiết bị, vật tư chuyên môn và thương mại",UPCoM,1/3/2019,"11,114,472"
SDV,CTCP Dịch vụ Sonadezi,"Dịch vụ hỗ trợ (hành chính, du lịch, an ninh, kiểm định…) và xử lý rác thải",Dịch vụ quản lý và tái chế chất thải,Xử lý và tiêu hủy chất thải,UPCoM,22/04/2011,"5,000,000"
SDX,CTCP Phòng cháy Chữa cháy và Đầu tư Xây dựng Sông Đà,Xây dựng và Bất động sản,"Xây dựng nhà cửa, cao ốc",Xây dựng công trình khác,UPCoM,24/09/2015,"2,250,000"
SDY,CTCP Xi măng Sông Đà Yaly,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất xi măng và các sản phẩm bê tông,UPCoM,9/6/2017,"4,500,000"
SEA,Tổng Công ty Thủy sản Việt Nam - CTCP,Sản xuất nông nghiệp,Chăn nuôi,Nuôi trồng thủy sản,UPCoM,23/12/2016,"125,000,000"
SEP,CTCP Tổng Công ty Thương mại Quảng Trị,Sản xuất nông nghiệp,Trồng trọt,Trồng trọt các loại cây khác,UPCoM,6/2/2017,"8,400,000"
SGB,Ngân hàng TMCP Sài Gòn Công Thương,Tài chính và bảo hiểm,Trung gian tín dụng và các hoạt động liên quan,Trung gian tín dụng có nhận tiền gửi,UPCoM,15/10/2020,"308,000,000"
SGI,CTCP Đầu tư Phát triển Sài Gòn 3 Group,Sản xuất,Sản xuất các sản phẩm may mặc,Sản xuất sản phẩm may mặc dệt kim,UPCoM,14/09/2021,"75,464,700"
SGO,CTCP Dầu thực vật Sài Gòn,Sản xuất,Sản xuất thực phẩm,Sản xuất các loại thực phẩm khác,UPCoM,23/12/2019,"20,000,000"
SGP,CTCP Cảng Sài Gòn,Vận tải và kho bãi,Hỗ trợ vận tải,Hoạt động hỗ trợ vận tải đường thủy,UPCoM,25/04/2016,"216,294,961"
SGS,CTCP Vận tải biển Sài Gòn,Vận tải và kho bãi,Vận tải đường thủy,"Vận tải đường biển, ven biển, hồ lớn",UPCoM,22/12/2010,"14,420,000"
SHC,CTCP Hàng hải Sài Gòn,Vận tải và kho bãi,Vận tải đường thủy,"Vận tải đường biển, ven biển, hồ lớn",UPCoM,13/10/2017,"4,309,550"
SHG,Tổng Công ty cổ phần Sông Hồng,Xây dựng và Bất động sản,"Xây dựng nhà cửa, cao ốc",Xây dựng công trình khác,UPCoM,10/4/2015,"27,000,000"
SHX,CTCP Sài Gòn Hỏa xa,Vận tải và kho bãi,Vận tải đường sắt,Vận tải đường sắt đường dài,UPCoM,11/10/2016,"1,720,000"
SID,CTCP Đầu tư Phát triển Sài Gòn Co.op,Xây dựng và Bất động sản,Bất động sản,Các hoạt động liên quan đến bất động sản,UPCoM,9/1/2017,"100,000,000"
SIG,CTCP Đầu tư và Thương mại Sông Đà,"Dịch vụ chuyên môn, khoa học và công nghệ","Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",Dịch vụ kiến trúc,UPCoM,10/10/2019,"10,000,000"
SIP,CTCP Đầu tư Sài Gòn VRG,Tiện ích,"Nước, chất thải và các hệ thống khác",Hệ thống thủy lợi và cung cấp nước,UPCoM,6/6/2019,"91,316,039"
SIV,CTCP SIVICO,Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất sơn và chất kết dính,UPCoM,23/05/2017,"3,012,374"
SJC,CTCP Sông Đà 1.01,Xây dựng và Bất động sản,Bất động sản,Các hoạt động liên quan đến bất động sản,UPCoM,2/7/2021,"7,226,082"
SJG,Tổng Công ty Sông Đà - CTCP,Xây dựng và Bất động sản,Xây dựng công nghiệp nặng và dân dụng,Xây dựng hệ thống tiện ích,UPCoM,12/2/2018,"449,537,112"
SJM,CTCP Sông Đà 19,Xây dựng và Bất động sản,"Xây dựng nhà cửa, cao ốc",Xây dựng công trình khác,UPCoM,29/05/2014,"5,000,000"
SKH,CTCP Nước giải khát Sanest Khánh Hòa,Sản xuất,Sản xuất đồ uống và thuốc lá,Sản xuất đồ uống,UPCoM,25/10/2017,"16,126,740"
SKN,CTCP Nước giải khát Sanna Khánh Hòa,Sản xuất,Sản xuất đồ uống và thuốc lá,Sản xuất đồ uống,UPCoM,10/10/2018,"5,000,000"
SKV,CTCP Nước giải khát Yến sào Khánh Hòa,Sản xuất,Sản xuất đồ uống và thuốc lá,Sản xuất đồ uống,UPCoM,3/11/2017,"23,000,000"
SNC,CTCP Xuất nhập khẩu Thủy sản Năm Căn,Sản xuất,Sản xuất thực phẩm,Sơ chế và đóng gói thủy sản,UPCoM,11/11/2014,"5,000,000"
SNZ,Tổng Công ty cổ phần Phát triển Khu Công nghiệp,Xây dựng và Bất động sản,Phát triển bất động sản,Phát triển bất động sản,UPCoM,20/11/2017,"376,500,000"
SON,CTCP Cung ứng Nhân lực Quốc tế và Thương mại,"Dịch vụ hỗ trợ (hành chính, du lịch, an ninh, kiểm định…) và xử lý rác thải",Dịch vụ hành chính và hỗ trợ,Dịch vụ việc làm,UPCoM,5/1/2018,"9,729,930"
