Mã CK,Tên công ty,Ngành cấp 1,Ngành cấp 2,Ngành cấp 3,Sàn,Ngày GDĐT,Khối lượng NY/ĐKGD
TFC,CTCP Trang,Sản xuất,Sản xuất thực phẩm,Giết mổ và chế biến thịt động vật,HNX,3/12/2015,"16,829,994"
NAG,CTCP Tập đoàn Nagakawa,Sản xuất,"Sản xuất thiết bị, máy móc","Sản xuất hệ thống thông gió, sưởi ấm, điều hòa nhiệt độ và thiết bị làm lạnh",HNX,22/09/2009,"16,682,624"
HHC,CTCP Bánh kẹo Hải Hà,Sản xuất,Sản xuất thực phẩm,Sản xuất bánh và bánh mì các loại,HNX,20/11/2007,"16,425,000"
VHE,CTCP Dược liệu và Thực phẩm Việt Nam,Sản xuất,Sản xuất thực phẩm,Sản xuất các loại thực phẩm khác,HNX,14/01/2019,"15,840,000"
NFC,CTCP Phân lân Ninh Bình,Sản xuất,"Sản xuất hóa chất, dược phẩm","Sản xuất thuốc trừ sâu, phân bón và các loại hóa chất nông nghiệp",HNX,3/3/2014,"15,731,260"
VDL,CTCP Thực phẩm Lâm Đồng,Sản xuất,Sản xuất đồ uống và thuốc lá,Sản xuất đồ uống,HNX,27/11/2007,"14,657,150"
CTB,CTCP Chế tạo Bơm Hải Dương,Sản xuất,"Sản xuất thiết bị, máy móc","Sản xuất thiết bị nông nghiệp, xây dựng và khai khoáng",HNX,10/10/2006,"13,680,000"
LDP,CTCP Dược Lâm Đồng (Ladophar),Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất thuốc và dược phẩm,HNX,20/07/2010,"12,703,167"
KHS,CTCP Kiên Hùng,Sản xuất,Sản xuất thực phẩm,Sơ chế và đóng gói thủy sản,HNX,26/12/2017,"12,090,969"
PMB,CTCP Phân bón và Hóa chất Dầu khí Miền Bắc,Sản xuất,"Sản xuất hóa chất, dược phẩm","Sản xuất thuốc trừ sâu, phân bón và các loại hóa chất nông nghiệp",HNX,7/10/2015,"12,000,000"
CLH,CTCP Xi măng La Hiên VVMI,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất xi măng và các sản phẩm bê tông,HNX,7/6/2016,"12,000,000"
KSD,CTCP Đầu tư DNA,Sản xuất,"Sản xuất trang thiết bị, dụng cụ điện",Sản xuất đồ điện gia dụng,HNX,28/04/2010,"12,000,000"
HDA,CTCP Hãng sơn Đông Á,Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất sơn và chất kết dính,HNX,27/12/2010,"11,500,000"
BLF,CTCP Thủy sản Bạc Liêu,Sản xuất,Sản xuất thực phẩm,Sơ chế và đóng gói thủy sản,HNX,2/6/2008,"11,500,000"
THB,CTCP Bia Hà Nội - Thanh Hóa,Sản xuất,Sản xuất đồ uống và thuốc lá,Sản xuất đồ uống,HNX,19/11/2008,"11,424,570"
